path,weight
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_2,478
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_3,478
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,492
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4,406
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_2,292
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_3,292
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,306
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> Connective tissue_1_120,457
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4,451
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_32 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_60,348
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_32 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_61,348
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_2,388
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_3,388
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,402
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4,265
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_115 -> Dermomyotome_1_114,402
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_32 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_58,314
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4,361
Neural crest_1_71 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_60,168
Neural crest_1_71 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_61,168
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_41,303
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Notochord_1_21 -> Brain_1_19 -> Brain_1_17,378
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Cavity_1_37 -> Cavity_1_39,244
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_41,117
Neural crest_1_71 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_58,134
Neural crest_1_71 -> Neural crest_1_68 -> Neural crest_1_102 -> Branchial arch_1_64 -> Branchial arch_1_65,140
Neural crest_1_71 -> Neural crest_1_68 -> Neural crest_1_102 -> Branchial arch_1_64 -> Branchial arch_1_66,140
Neural crest_1_71 -> Neural crest_1_68 -> Neural crest_1_102 -> Branchial arch_1_64 -> Branchial arch_1_67,140
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Notochord_1_21 -> Brain_1_18,288
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Notochord_1_21 -> Cavity_1_43,288
Neural crest_1_31 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_60,124
Neural crest_1_31 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_61,124
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_32 -> Cavity_1_34,222
Brain_1_26 -> Brain_1_24 -> Brain_1_25 -> Notochord_1_52,265
Neural crest_1_31 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_58,90
Cavity_1_40 -> Cavity_1_81 -> Cavity_1_83 -> Cavity_1_85,41
Brain_1_55 -> Brain_1_50 -> Cavity_1_51,93
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_44,28
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_46,28
Cavity_1_40 -> Cavity_1_81 -> Cavity_1_82,32
Cavity_1_90 -> Mesenchyme_1_95 -> Mesenchyme_1_94,20
AGM_1_98 -> AGM_1_99 -> AGM_1_119,110
Neural crest_1_71 -> Neural crest_1_69,42
Neural crest_1_71 -> Neural crest_1_70,42
Neural crest_1_31 -> Neural crest_1_30,21
Brain_1_55 -> Brain_1_54,73
Cavity_1_40 -> Cavity_1_80,14
Cavity_1_88 -> Mesenchyme_1_91,11
