邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,2,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.379,0.0
Brain,发送,3,FGF10_FGFR2,Branchial arch,FGF10,FGFR2,1.256,0.005
Brain,发送,4,2arachidonoylglycerol_byDAGLB_CNR1,Branchial arch,2arachidonoylglycerol,byDAGLB,1.102,0.0
Brain,发送,5,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.076,0.0
Brain,发送,6,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.035,0.0
Brain,发送,7,WNT5A_SFRP1,Branchial arch,WNT5A,SFRP1,1.003,0.0
Brain,发送,8,LRFN4_PTPRF,Branchial arch,LRFN4,PTPRF,0.963,0.008
Brain,发送,9,COL3A1_ADGRG1,Branchial arch,COL3A1,ADGRG1,0.919,0.003
Brain,发送,10,WNT5B_SFRP1,Branchial arch,WNT5B,SFRP1,0.907,0.0
Brain,接收,1,FGF10_FGFR2,Branchial arch,FGFR2,FGF10,1.214,0.029
Brain,接收,2,CADM1_NECTIN3,Branchial arch,NECTIN3,CADM1,0.867,0.0
Brain,接收,3,CADM1_CADM1,Branchial arch,CADM1,CADM1,0.822,0.001
Brain,接收,4,NCAM1_AGRN,Branchial arch,AGRN,NCAM1,0.814,0.0
Brain,接收,5,TENM2_ADGRL2,Branchial arch,ADGRL2,TENM2,0.805,0.0
Brain,接收,6,LRFN5_PTPRF,Branchial arch,PTPRF,LRFN5,0.802,0.04
Brain,接收,7,NTN1_UNC5C,Branchial arch,UNC5C,NTN1,0.776,0.0
Brain,接收,8,NCAM1_FGFR1,Branchial arch,FGFR1,NCAM1,0.765,0.0
Brain,接收,9,SLIT2_ROBO1,Branchial arch,ROBO1,SLIT2,0.754,0.008
Brain,接收,10,TENM3_ADGRL2,Branchial arch,ADGRL2,TENM3,0.744,0.026
Branchial arch,发送,1,IGF2_IGF1R,Branchial arch,IGF2,IGF1R,1.9,0.001
Branchial arch,发送,2,MDK_PTPRZ1,Branchial arch,MDK,PTPRZ1,1.313,0.0
Branchial arch,发送,3,FGF10_FGFR2,Branchial arch,FGF10,FGFR2,1.202,0.016
Branchial arch,发送,4,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.139,0.0
Branchial arch,发送,5,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.114,0.0
Branchial arch,发送,6,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.075,0.0
Branchial arch,发送,7,FN1_integrin_a3b1_complex,Branchial arch,FN1,integrin,0.992,0.006
Branchial arch,发送,8,TENM3_ADGRL2,Branchial arch,TENM3,ADGRL2,0.75,0.0
Branchial arch,发送,9,PDGFC_PDGFRA,Branchial arch,PDGFC,PDGFRA,0.724,0.0
Branchial arch,发送,10,NTN1_UNC5C,Branchial arch,NTN1,UNC5C,0.646,0.0
Branchial arch,接收,1,IGF2_IGF1R,Branchial arch,IGF1R,IGF2,1.9,0.001
Branchial arch,接收,2,MDK_PTPRZ1,Branchial arch,PTPRZ1,MDK,1.313,0.0
Branchial arch,接收,3,FGF10_FGFR2,Branchial arch,FGFR2,FGF10,1.202,0.016
Branchial arch,接收,4,DLK1_NOTCH2,Branchial arch,NOTCH2,DLK1,1.139,0.0
Branchial arch,接收,5,DLK1_NOTCH3,Branchial arch,NOTCH3,DLK1,1.114,0.0
Branchial arch,接收,6,DLK1_NOTCH1,Branchial arch,NOTCH1,DLK1,1.075,0.0
Branchial arch,接收,7,FN1_integrin_a3b1_complex,Branchial arch,integrin,FN1,0.992,0.006
Branchial arch,接收,8,TENM3_ADGRL2,Branchial arch,ADGRL2,TENM3,0.75,0.0
Branchial arch,接收,9,PDGFC_PDGFRA,Branchial arch,PDGFRA,PDGFC,0.724,0.0
Branchial arch,接收,10,NTN1_UNC5C,Branchial arch,UNC5C,NTN1,0.646,0.0
Branchial arch_1_66_Target,发送,1,IGF2_IGF1R,Branchial arch,IGF2,IGF1R,1.976,0.009
Branchial arch_1_66_Target,发送,2,MDK_PTPRZ1,Branchial arch,MDK,PTPRZ1,1.321,0.0
Branchial arch_1_66_Target,发送,3,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.134,0.0
Branchial arch_1_66_Target,发送,4,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.105,0.0
Branchial arch_1_66_Target,发送,5,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.056,0.0
Branchial arch_1_66_Target,发送,6,LRFN4_PTPRF,Branchial arch,LRFN4,PTPRF,1.017,0.002
Branchial arch_1_66_Target,发送,7,2arachidonoylglycerol_byDAGLB_CNR1,Branchial arch,2arachidonoylglycerol,byDAGLB,0.991,0.005
Branchial arch_1_66_Target,发送,8,DAG1_NRXN3,Branchial arch,DAG1,NRXN3,0.804,0.0
Branchial arch_1_66_Target,发送,9,NTN1_UNC5C,Branchial arch,NTN1,UNC5C,0.702,0.012
Branchial arch_1_66_Target,发送,10,TENM3_ADGRL1,Branchial arch,TENM3,ADGRL1,0.661,0.008
Branchial arch_1_66_Target,接收,1,IGF2_IGF1R,Branchial arch,IGF1R,IGF2,1.934,0.043
Branchial arch_1_66_Target,接收,2,MDK_PTPRZ1,Branchial arch,PTPRZ1,MDK,1.24,0.033
Branchial arch_1_66_Target,接收,3,FN1_integrin_a3b1_complex,Branchial arch,integrin,FN1,1.067,0.04
Branchial arch_1_66_Target,接收,4,COL18A1_integrin_a11b1_complex,Branchial arch,integrin,COL18A1,0.915,0.044
Branchial arch_1_66_Target,接收,5,BMP4_BMPR1A_BMPR2,Branchial arch,BMPR1A,BMP4,0.824,0.002
Branchial arch_1_66_Target,接收,6,NTN1_UNC5C,Branchial arch,UNC5C,NTN1,0.672,0.011
Branchial arch_1_66_Target,接收,7,FLRT3_ADGRL2,Branchial arch,ADGRL2,FLRT3,0.667,0.0
Branchial arch_1_66_Target,接收,8,BMP4_BMR1A_ACR2A,Branchial arch,BMR1A,BMP4,0.638,0.012
Branchial arch_1_66_Target,接收,9,BMP4_BMR1A_AVR2B,Branchial arch,BMR1A,BMP4,0.632,0.006
Branchial arch_1_66_Target,接收,10,NRXN3_ADGRL1,Branchial arch,ADGRL1,NRXN3,0.62,0.0
