embedding_level,embedding_index,start,end
5,56,L5/59,L5/58
5,56,L5/58,L5/56
5,57,L5/35,L5/51
5,57,L5/51,L5/50
5,57,L5/50,L5/48
5,57,L5/48,L5/52
5,57,L5/52,L5/57
5,58,L5/35,L5/34
5,58,L5/34,L5/32
5,58,L5/32,L5/49
5,58,L5/49,L5/59
5,58,L5/59,L5/58
5,59,L5/35,L5/34
5,59,L5/34,L5/32
5,59,L5/32,L5/49
5,59,L5/49,L5/59
5,60,L5/35,L5/34
5,60,L5/34,L5/32
5,60,L5/32,L5/49
5,60,L5/49,L5/59
5,60,L5/59,L5/58
5,60,L5/58,L5/60
5,61,L5/35,L5/34
5,61,L5/34,L5/32
5,61,L5/32,L5/49
5,61,L5/49,L5/59
5,61,L5/59,L5/58
5,61,L5/58,L5/61
5,62,L5/35,L5/34
5,62,L5/34,L5/32
5,62,L5/32,L5/49
5,62,L5/49,L5/59
5,62,L5/59,L5/58
5,62,L5/58,L5/60
5,62,L5/60,L5/62
5,63,L5/35,L5/34
5,63,L5/34,L5/32
5,63,L5/32,L5/49
5,63,L5/49,L5/59
5,63,L5/59,L5/58
5,63,L5/58,L5/60
5,63,L5/60,L5/63
6,0,L6/71,L6/103
6,0,L6/103,L6/100
6,0,L6/100,L6/96
6,0,L6/96,L6/97
6,0,L6/97,L6/105
6,0,L6/105,L6/104
6,0,L6/104,L6/107
6,0,L6/107,L6/111
6,0,L6/111,L6/109
6,0,L6/109,L6/10
6,0,L6/10,L5/5
6,0,L5/5,L5/7
6,0,L5/7,L6/15
6,0,L6/15,L6/13
6,0,L6/13,L6/0
6,1,L6/71,L6/103
6,1,L6/103,L6/100
6,1,L6/100,L6/96
6,1,L6/96,L6/97
6,1,L6/97,L6/105
6,1,L6/105,L6/104
6,1,L6/104,L6/107
6,1,L6/107,L6/111
6,1,L6/111,L6/109
6,1,L6/109,L6/10
6,1,L6/10,L5/5
6,1,L5/5,L5/7
6,1,L5/7,L6/15
6,1,L6/15,L6/13
6,1,L6/13,L6/1
6,2,L6/71,L6/103
6,2,L6/103,L6/100
6,2,L6/100,L6/96
6,2,L6/96,L6/97
6,2,L6/97,L6/105
6,2,L6/105,L6/104
6,2,L6/104,L6/107
6,2,L6/107,L6/111
6,2,L6/111,L6/109
6,2,L6/109,L6/10
6,2,L6/10,L6/8
6,2,L6/8,L6/6
6,2,L6/6,L6/5
6,2,L6/5,L6/2
6,3,L6/71,L6/103
6,3,L6/103,L6/100
6,3,L6/100,L6/96
6,3,L6/96,L6/97
6,3,L6/97,L6/105
6,3,L6/105,L6/104
6,3,L6/104,L6/107
6,3,L6/107,L6/111
6,3,L6/111,L6/109
6,3,L6/109,L6/10
6,3,L6/10,L6/8
6,3,L6/8,L6/6
6,3,L6/6,L6/5
6,3,L6/5,L6/3
6,4,L6/71,L6/103
6,4,L6/103,L6/100
6,4,L6/100,L6/96
6,4,L6/96,L6/97
6,4,L6/97,L6/105
6,4,L6/105,L6/104
6,4,L6/104,L6/107
6,4,L6/107,L6/111
6,4,L6/111,L6/109
6,4,L6/109,L6/10
6,4,L6/10,L6/8
6,4,L6/8,L6/7
6,4,L6/7,L6/4
6,5,L6/71,L6/103
6,5,L6/103,L6/100
6,5,L6/100,L6/96
6,5,L6/96,L6/97
6,5,L6/97,L6/105
6,5,L6/105,L6/104
6,5,L6/104,L6/107
6,5,L6/107,L6/111
6,5,L6/111,L6/109
6,5,L6/109,L6/10
6,5,L6/10,L6/8
6,5,L6/8,L6/6
6,5,L6/6,L6/5
6,6,L6/71,L6/103
6,6,L6/103,L6/100
6,6,L6/100,L6/96
6,6,L6/96,L6/97
6,6,L6/97,L6/105
6,6,L6/105,L6/104
6,6,L6/104,L6/107
6,6,L6/107,L6/111
6,6,L6/111,L6/109
6,6,L6/109,L6/10
6,6,L6/10,L6/8
6,6,L6/8,L6/6
6,7,L6/71,L6/103
6,7,L6/103,L6/100
6,7,L6/100,L6/96
6,7,L6/96,L6/97
6,7,L6/97,L6/105
6,7,L6/105,L6/104
6,7,L6/104,L6/107
6,7,L6/107,L6/111
6,7,L6/111,L6/109
6,7,L6/109,L6/10
6,7,L6/10,L6/8
6,7,L6/8,L6/7
6,8,L6/71,L6/103
6,8,L6/103,L6/100
6,8,L6/100,L6/96
6,8,L6/96,L6/97
6,8,L6/97,L6/105
6,8,L6/105,L6/104
6,8,L6/104,L6/107
6,8,L6/107,L6/111
6,8,L6/111,L6/109
6,8,L6/109,L6/10
6,8,L6/10,L6/8
6,9,L6/71,L6/103
6,9,L6/103,L6/100
6,9,L6/100,L6/96
6,9,L6/96,L6/97
6,9,L6/97,L6/105
6,9,L6/105,L6/104
6,9,L6/104,L6/107
6,9,L6/107,L6/111
6,9,L6/111,L6/109
6,9,L6/109,L6/10
6,9,L6/10,L6/9
6,10,L6/71,L6/103
6,10,L6/103,L6/100
6,10,L6/100,L6/96
6,10,L6/96,L6/97
6,10,L6/97,L6/105
6,10,L6/105,L6/104
6,10,L6/104,L6/107
6,10,L6/107,L6/111
6,10,L6/111,L6/109
6,10,L6/109,L6/10
6,11,L6/71,L6/103
6,11,L6/103,L6/100
6,11,L6/100,L6/96
6,11,L6/96,L6/97
6,11,L6/97,L6/105
6,11,L6/105,L6/104
6,11,L6/104,L6/107
6,11,L6/107,L6/111
6,11,L6/111,L6/109
6,11,L6/109,L6/10
6,11,L6/10,L6/11
6,12,L6/71,L6/103
6,12,L6/103,L6/100
6,12,L6/100,L6/96
6,12,L6/96,L6/97
6,12,L6/97,L6/105
6,12,L6/105,L6/104
6,12,L6/104,L6/107
6,12,L6/107,L6/111
6,12,L6/111,L6/109
6,12,L6/109,L6/10
6,12,L6/10,L5/5
6,12,L5/5,L5/7
6,12,L5/7,L6/14
6,12,L6/14,L6/12
6,13,L6/71,L6/103
6,13,L6/103,L6/100
6,13,L6/100,L6/96
6,13,L6/96,L6/97
6,13,L6/97,L6/105
6,13,L6/105,L6/104
6,13,L6/104,L6/107
6,13,L6/107,L6/111
6,13,L6/111,L6/109
6,13,L6/109,L6/10
6,13,L6/10,L5/5
6,13,L5/5,L5/7
6,13,L5/7,L6/15
6,13,L6/15,L6/13
6,14,L6/71,L6/103
6,14,L6/103,L6/100
6,14,L6/100,L6/96
6,14,L6/96,L6/97
6,14,L6/97,L6/105
6,14,L6/105,L6/104
6,14,L6/104,L6/107
6,14,L6/107,L6/111
6,14,L6/111,L6/109
6,14,L6/109,L6/10
6,14,L6/10,L5/5
6,14,L5/5,L5/7
6,14,L5/7,L6/14
6,15,L6/71,L6/103
6,15,L6/103,L6/100
6,15,L6/100,L6/96
6,15,L6/96,L6/97
6,15,L6/97,L6/105
6,15,L6/105,L6/104
6,15,L6/104,L6/107
6,15,L6/107,L6/111
6,15,L6/111,L6/109
6,15,L6/109,L6/10
6,15,L6/10,L5/5
6,15,L5/5,L5/7
6,15,L5/7,L6/15
6,16,L6/71,L6/103
6,16,L6/103,L6/100
6,16,L6/100,L6/96
6,16,L6/96,L6/97
6,16,L6/97,L6/105
6,16,L6/105,L6/104
6,16,L6/104,L6/107
6,16,L6/107,L6/111
6,16,L6/111,L6/109
6,16,L6/109,L6/10
6,16,L6/10,L5/5
6,16,L5/5,L5/7
6,16,L5/7,L6/15
6,16,L6/15,L6/13
6,16,L6/13,L6/26
6,16,L6/26,L6/24
6,16,L6/24,L6/23
6,16,L6/23,L6/22
6,16,L6/22,L6/20
6,16,L6/20,L6/16
6,17,L6/71,L6/103
6,17,L6/103,L6/100
6,17,L6/100,L6/96
6,17,L6/96,L6/97
6,17,L6/97,L6/105
6,17,L6/105,L6/104
6,17,L6/104,L6/107
6,17,L6/107,L6/111
6,17,L6/111,L6/109
6,17,L6/109,L6/10
6,17,L6/10,L5/5
6,17,L5/5,L5/7
6,17,L5/7,L6/15
6,17,L6/15,L6/13
6,17,L6/13,L6/26
6,17,L6/26,L6/24
