path_id,length,weight,start_node,end_node,path_string
26,8,402,Neural crest_1_71,Dermomyotome_1_114,Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_115 -> Dermomyotome_1_114
27,6,168,Neural crest_1_71,Neural crest_1_60,Neural crest_1_71 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_60
28,6,168,Neural crest_1_71,Neural crest_1_61,Neural crest_1_71 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_59 -> Neural crest_1_61
29,5,134,Neural crest_1_71,Neural crest_1_58,Neural crest_1_71 -> Cavity_1_35 -> Neural crest_1_28 -> Neural crest_1_57 -> Neural crest_1_58
30,5,140,Neural crest_1_71,Branchial arch_1_65,Neural crest_1_71 -> Neural crest_1_68 -> Neural crest_1_102 -> Branchial arch_1_64 -> Branchial arch_1_65
31,5,140,Neural crest_1_71,Branchial arch_1_66,Neural crest_1_71 -> Neural crest_1_68 -> Neural crest_1_102 -> Branchial arch_1_64 -> Branchial arch_1_66
32,5,140,Neural crest_1_71,Branchial arch_1_67,Neural crest_1_71 -> Neural crest_1_68 -> Neural crest_1_102 -> Branchial arch_1_64 -> Branchial arch_1_67
33,2,42,Neural crest_1_71,Neural crest_1_69,Neural crest_1_71 -> Neural crest_1_69
34,2,42,Neural crest_1_71,Neural crest_1_70,Neural crest_1_71 -> Neural crest_1_70
35,15,820,Neural crest_1_103,Brain_1_4,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4
36,15,820,Neural crest_1_103,Neural crest_1_14,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14
37,15,879,Neural crest_1_103,Brain_1_5,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5
38,15,881,Neural crest_1_103,Brain_1_4,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4
39,15,881,Neural crest_1_103,Neural crest_1_14,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14
40,14,783,Neural crest_1_103,Brain_1_12,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12
41,14,802,Neural crest_1_103,Brain_1_2,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_2
42,14,802,Neural crest_1_103,Brain_1_3,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_3
43,14,816,Neural crest_1_103,Brain_1_12,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12
44,13,742,Neural crest_1_103,Brain_1_4,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4
45,13,775,Neural crest_1_103,Brain_1_4,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4
46,13,840,Neural crest_1_103,Brain_1_17,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Brain_1_19 -> Brain_1_17
47,13,614,Neural crest_1_103,Heart_1_72,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Heart_1_73 -> Heart_1_72
48,13,659,Neural crest_1_103,Heart_1_74,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Heart_1_75 -> Heart_1_74
49,12,724,Neural crest_1_103,Brain_1_2,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_2
50,12,724,Neural crest_1_103,Brain_1_3,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_3
51,12,733,Neural crest_1_103,Brain_1_41,Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_41
